GH 2320,Kofi Djam/Brobby,BA,Airtel,954.20,0.00000001,52,0.02,957.2,0.000057,57.00,0.01,957.2,0.000057,57.00,0.01,,,,,,,,,,,,,,,0,,,,,,,,0,,,,0,,
,Krabonso,BA,Tigo/Vodafone,943.70,0.00000051,28,0.36,945.7,0.000027,27.00,0.51,946.7,0.000029,29.00,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KWAME_DANSO,BA,Vodafone/Airtel,949.20,0.0000001,32,0.23,953.7,0.000039,39.00,0.1,946.7,0.000032,32.00,0.23,,,,,1860,0.000045,45.00,0.08,1842,0.000053,53.00,0.03,,,,,,,,,,,,,,,,,
2009,NKORANZA,BA,Vodafone/Airtel,,,,,,0,,,950.2,0.000047,47.00,0.04,1860,0.00004,40.00,0.12,,,,,,,,,,,,,,,,,,,,,,,,,
Bab2013,NSUATRE,BA,Vodafone/Airtel,952.20,0.00000068,31,0.26,950.2,0.000022,22.00,0.68,944.2,0.000028,28.00,0.35,1872,0.000036,36.00,0.2,1854,0.000037,37.00,0.18,1854,0.000037,37.00,0.17,,,,,,,,,,,,,,,,,
,Nyankotre,BA,Tigo/Vodafone,946.20,0.00000041,27,0.39,944.7,0.000028,28.00,0.41,946.7,0.000023,23.00,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1813,Penkwase,BA,Tigo,953.20,0.00000054,33,0.19,953.2,0.000024,24.00,0.54,953.2,0.000028,28.00,0.35,1853,0.000035,35.00,0.23,1856,0.000041,41.00,0.11,1853,0.000032,32.00,0.31,2163,0.000041,,41.00,0.13,2163,0.000034,34.00,0.29,2162,,46.00,0.08,,,,
,Prang,BA,Tigo,955.20,0.00000002,39,0.13,955.2,0.000032,32.00,0.02,955.2,0.000032,32.00,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Prang,BA,EXPRESSO,959.20,0.000043,43,0.06,959.2,0.000066,66.00,0,959.2,0.000058,58.00,0.01,1860,0.000052,52.00,0.03,1809,0.000057,57.00,0,1860,0.000066,66.00,0,,,,,,,,,,,,,,,,,
2017,PRANG_GT,BA,Vodafone,955.20,0.00000032,34,0.17,955.2,0.000029,29.00,0.32,950.2,0.000033,33.00,0.2,1818,0.000057,57.00,0.01,1820,0.00006,60.00,0.01,,,,,,,,,,,,,,,,,,,,,
BAB2199,SORONUASI,BA,Vodafone/Airtel,955.20,0.0000003,32,0.24,946.2,0.000032,32.00,0.3,943.7,0.000031,31.00,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1838,Techiman Tonsu Ase,BA,Tigo/Airtel,955.20,0.00000052,30,0.27,955.2,0.000025,25.00,0.52,955.2,0.000031,31.00,0.25,1844,0.000048,48.00,0.05,1844,0.000055,55.00,0.02,1844,0.000052,52.00,0.03,2163,0.000038,,38.00,0.18,2163,0.000041,41.00,0.13,2163,,39.00,0.16,,,,
BAB2068,TECHIMAN_DIASEMPA,BA,Vodafone/Airtel,956.70,0.00000054,20,0.88,948.2,0.000024,24.00,0.54,953.7,0.000026,26.00,0.46,1823,0.000024,24.00,0.8,1832,0.000026,26.00,0.64,1853,0.000031,31.00,0.35,2169,0.000031,,31.00,0.4,2163,0.000033,33.00,0.37,2138,,34.00,0.3,,,,
2067,TECHIMAN_MARKET,BA,Vodafone/Airtel,946.70,0.00000016,28,0.36,951.2,0.000024,24.00,0.16,957.2,0.000025,25.00,0.15,1853,0.000042,42.00,0.01,1854,0.000042,42.00,0.12,1854,0.000036,36.00,0.19,2162,0.000032,,32.00,0.37,2162,0.000042,42.00,0.11,2163,,34.00,0.29,,,,
040,Wenchi,BA,TIGO/VODAFONE/AIRTEL,944.20,0.00000014,23,0.27,,0.00004,40.00,0.14,,0.000034,34.00,0.27,944.2,0.000031,31.00,0.26,1854,0.000042,42.00,0.09,,0.000037,37.00,0.17,946.2,0.000027,,27.00,,0.42,0.001854,1854.00,37,0.17,,2168.00,34,0.35,,,
1319,1319BANIEKROM,BANIEKROM,MTN,959.2,,56,0.58,,0,,,,0,,,959.2,0.000049,49.00,0.49,,,,,,,,,959.2,0.000054,,54.00,0.33,,,,,,,,,,,,
657,0657BECHEM,BECHEM,MTN,951.2,0.0000004,29,0.31,951.2,0.000027,27.00,0.4,951.2,0.000034,34.00,0.17,1854,0.000044,44.00,0.08,1851,0.000037,37.00,0.17,1851,0.00004,40.00,O.12,2129,0.00006,,60.00,0.01,2122,0.000061,61.00,0.01,2123,,56.00,0.02,,,,
1901,1901BECHEM_2,BECHEM,MTN,958.2,0.000017,19,1.05,957.7,0.000017,17.00,17,957.7,0.000017,17.00,1.34,1860,0.00006,60.00,0.01,1854,0.000057,57.00,0.01,1842,0.000056,56.00,0.03,2121,0.000066,,66.00,0,2122,0.000065,65.00,0,2123,,66.00,0,,,,
1243,Bechem,Bechem,Tigo,938.2,0.00000013,42,0.17,1860,0.000069,69.00,0.13,2160,0.000066,66.00,0.1,926.7,0.000038,38.00,0.22,1860,0.000068,68.00,0.05,2160,0.000064,64.00,0.15,944.7,0.000053,,53.00,0.09,1842,0.00005,50.00,0.04,2128,,51.00,0.04,,,,
1677,1677BONSANKRO,Brosankro,MTN,985.2,,18,1.13,1860,0.000067,67.00,0,,0,,,959.2,0.000029,29.00,0.65,1860,0.000068,68.00,0,,,,,959.2,0.000029,,29.00,0.31,1860,0.000069,69.00,0,,,,,,,,
BAB 2147,BROSANKRO,Brosankro,vodafone,959.2,,29,0.37,1860,0.000069,69.00,0,,0,,,957.7,0.000031,31.00,0.44,1860,0.000069,69.00,0.41,,,,,956.7,0.000027,,27.00,0.41,1860,0.000069,69.00,0.41,,,,,,,,
1923,1923DWINYAMA,DWINYAMA,MTN,955.2,0.000021,21,0.77,1842,0.000069,69.00,0.00,,0,,,955.2,0.000022,22.00,0.71,1842,0.000067,67.00,0.00,,,,,,,,,,,,,,,,,,,,,
3634,3634HWIBAA,HWIBAA,MTN,957.2,,22,0.73,,0,,,,0,,,957.7,0.000033,33.00,0.65,,,,,,,,,956.2,0.000024,,24.00,0.59,,,,,,,,,,,,
,Atakura,Kintampo North,EXPRESSO,,,,,,0,,,,0,,,945.7,0.000057,57.00,0.01,952.2,0.000059,59.00,0.01,952.2,0.000057,57.00,0.01,,,,,,,,,,,,,,,,,
1943,1943KUNSU,KUSU,MTN,954.7,,20,0.94,,0,,,,0,,,954.7,0.00002,20.00,0.95,,,,,,,,,958.2,0.000031,,31.00,0.84,,,,,,,,,,,,
AR 0635,0635MANKRANSO,MANKRANSO,MTN,957.2,0.00000003,39,0.28,1844,0.000057,57.00,0.03,,0,,,953.2,0.000035,35.00,0.24,1860,0.000067,67.00,0.08,,,,,957.7,0.000026,,26.00,0.52,1841,0.00006,60.00,0.01,,,,,,,,
ASB 1066,MANKRANSO_GT,MANKRANSO,VODAFONE,957.7,0.00000007,49,0.30,1860,0.000069,69.00,0.07,,0,,,957.7,0.000041,41.00,0.31,1844,0.000047,47.00,0.06,,,,,943.7,0.000039,,39.00,0.24,1877,0.000066,66.00,0.13,,,,,,,,
,Mankranso(old90),MANKROSU,EXPRESSO,959.2,0.00000003,50,0.21,1844,0.000057,57.00,0.03,,0,,,957.7,0.00006,60.00,0.12,1844,0.000047,47.00,0.07,,,,,950.7,0.000036,,36.00,0.15,1844,0.00005,50.00,0.03,,,,,,,,
